N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
168,대한유화,"256,000","5,000",-1.92%,"5,000","16,640","6,500",20.85,"55,746",7.30,6.93,
169,KODEX 레버리지,"28,590",215,+0.76%,0,"16,411","57,400",5.20,"20,173,108",N/A,N/A,
170,신세계인터내셔날,"228,000","5,000",+2.24%,"5,000","16,279","7,140",4.81,"37,114",23.37,8.24,
171,DGB금융지주,"9,510",80,-0.83%,"5,000","16,086","169,146",48.78,"552,203",4.38,6.93,
172,녹십자홀딩스,"33,750",0,0.00%,500,"15,872","47,028",5.03,"266,123",8.96,19.74,
173,KODEX 삼성그룹,"10,105",55,+0.55%,0,"15,774","156,100",0.03,"249,676",N/A,N/A,
174,지누스,"98,600",400,-0.40%,500,"15,579","15,800",23.50,"63,281",32.54,11.61,
175,부광약품,"21,550",400,+1.89%,500,"15,314","71,063",4.49,"571,485",-162.03,-2.46,
176,JB금융지주,"7,700",0,0.00%,"5,000","15,168","196,983",41.15,"390,087",3.80,10.06,
177,SK네트웍스,"6,110",90,+1.50%,"2,500","15,164","248,188",12.95,"1,370,374",14.65,1.63,
178,롯데관광개발,"21,850",200,-0.91%,500,"15,137","69,276",5.32,"1,020,624",-12.22,-30.43,
179,LG생활건강우,"720,000","2,000",-0.28%,"5,000","15,118","2,100",85.32,"4,823",15.52,N/A,
180,솔루스첨단소재,"48,850",750,-1.51%,100,"14,943","30,590",4.75,"291,200",-134.94,-5.10,
181,NHN,"76,100",200,+0.26%,500,"14,889","19,565",11.03,"86,753",55.55,1.35,
182,KODEX 200TR,"14,190",70,+0.50%,0,"14,857","104,700",0.00,"125,236",N/A,N/A,
183,종근당,"130,000",0,0.00%,"2,500","14,854","11,426",8.00,"39,794",16.73,17.88,
184,세방전지,"106,000","6,400",+6.43%,500,"14,840","14,000",25.31,"309,484",19.23,6.14,
185,롯데리츠,"6,020",40,+0.67%,500,"14,627","242,969",9.63,"733,754",35.00,1.83,
186,태광산업,"1,300,000","10,000",+0.78%,"5,000","14,474","1,113",7.34,"1,627",11.46,3.26,
187,KODEX MSCI Korea TR,"13,855",45,+0.33%,0,"14,465","104,400",0.00,"399,761",N/A,N/A,
188,KODEX 종합채권(AA-이상)액티브,"108,375",75,-0.07%,0,"14,432","13,317",0.00,"4,190",N/A,N/A,
189,롯데칠성,"159,500","1,500",+0.95%,500,"14,315","8,975",9.03,"34,473",214.96,-1.00,
190,KODEX 2차전지산업,"18,280",80,+0.44%,0,"13,929","76,200",0.01,"472,299",N/A,N/A,
191,한국콜마,"60,600",300,-0.49%,500,"13,866","22,881",28.81,"203,087",8.66,29.27,
192,솔루엠,"27,200",700,+2.64%,500,"13,420","49,339",2.95,"1,038,608",26.61,43.26,
193,이노션,"66,200",0,0.00%,500,"13,240","20,000",30.27,"39,336",22.54,8.28,
194,LG전자우,"76,900",800,+1.05%,"5,000","13,216","17,186",40.96,"148,251",7.16,N/A,
195,코스맥스,"127,500","5,000",-3.77%,500,"12,813","10,050",21.81,"92,250",40.11,6.23,
196,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
197,영풍,"685,000",0,0.00%,"5,000","12,618","1,842",4.72,"1,382",9.22,4.03,
198,다우기술,"27,850",550,+2.01%,500,"12,495","44,867",22.33,"160,760",3.30,18.85,
199,더블유게임즈,"67,800",800,+1.19%,500,"12,458","18,375",11.46,"78,090",11.04,16.94,
200,보령제약,"23,450",100,+0.43%,500,"12,222","52,120",5.96,"217,952",32.30,8.62,
